,Time,Open,High,Low,Close,Volume
355,1583026380000,8545.2,8554.08,8545.2,8549.68,13.746177
356,1583026440000,8549.63,8563.33,8549.63,8561.14,12.656729
357,1583026500000,8561.64,8574.74,8561.43,8574.35,27.639059
358,1583026560000,8574.87,8585.99,8570.12,8582.93,31.832394
359,1583026620000,8583.89,8585.38,8575.59,8581.79,28.582134
360,1583026680000,8583.22,8590.6,8578.13,8582.43,27.411641
361,1583026740000,8582.24,8598.18,8580.73,8598.0,29.705817
362,1583026800000,8598.02,8609.27,8589.59,8591.1,118.073177
363,1583026860000,8592.41,8595.07,8587.94,8588.94,22.616042
364,1583026920000,8588.9,8594.58,8585.99,8591.82,22.495551
365,1583026980000,8592.27,8596.08,8587.93,8596.07,18.745901
366,1583027040000,8596.08,8610.0,8595.64,8605.51,45.506206
367,1583027100000,8604.7,8614.59,8603.48,8614.59,37.778259
368,1583027160000,8613.74,8627.59,8613.57,8627.59,64.893375
369,1583027220000,8626.49,8630.0,8611.52,8611.54,65.125158
370,1583027280000,8611.54,8622.93,8605.0,8617.16,41.664453
371,1583027340000,8617.52,8620.12,8608.93,8609.0,24.696342
372,1583027400000,8609.39,8620.49,8608.7,8614.75,26.276478
373,1583027460000,8614.75,8614.8,8601.84,8606.96,23.058066
374,1583027520000,8606.24,8614.79,8606.12,8612.14,20.624687
375,1583027580000,8611.94,8616.39,8610.0,8616.08,25.986611
376,1583027640000,8615.62,8623.08,8615.62,8621.7,16.498771
377,1583027700000,8623.67,8635.0,8622.73,8629.75,34.667574
378,1583027760000,8629.21,8648.32,8628.09,8638.3,83.799798
379,1583027820000,8639.03,8643.76,8631.02,8640.59,30.975053
380,1583027880000,8641.24,8645.06,8630.02,8634.88,32.461036
381,1583027940000,8634.91,8649.0,8633.61,8639.28,32.394733
382,1583028000000,8640.23,8664.76,8637.88,8662.57,82.467889
383,1583028060000,8662.92,8675.0,8654.58,8663.1,120.344286
384,1583028120000,8662.62,8665.44,8654.94,8657.21,47.154182
385,1583028180000,8657.21,8659.39,8642.59,8646.18,45.675475
386,1583028240000,8646.17,8656.74,8645.06,8656.16,21.087682
387,1583028300000,8656.96,8658.09,8635.99,8636.1,36.0151
388,1583028360000,8636.09,8643.59,8628.02,8632.68,24.380935
389,1583028420000,8631.22,8638.65,8625.54,8633.7,18.273845
390,1583028480000,8632.38,8638.17,8629.67,8636.99,17.302064
391,1583028540000,8635.11,8647.67,8634.85,8639.57,29.890732
392,1583028600000,8639.68,8649.94,8639.2,8643.52,26.693173
393,1583028660000,8642.27,8644.54,8633.46,8635.0,12.630603
394,1583028720000,8635.0,8636.56,8627.75,8627.75,15.842878
395,1583028780000,8627.76,8634.64,8625.0,8631.24,20.58552
396,1583028840000,8631.43,8638.91,8629.71,8636.78,14.916597
397,1583028900000,8636.93,8653.76,8636.93,8647.91,34.780329
398,1583028960000,8648.6,8651.34,8639.53,8643.4,15.846059
399,1583029020000,8643.4,8649.0,8641.48,8642.56,12.362183
400,1583029080000,8641.62,8642.12,8632.99,8634.46,12.183668
401,1583029140000,8633.05,8633.64,8624.01,8625.88,30.432636
402,1583029200000,8625.68,8630.0,8625.06,8626.95,11.900138
403,1583029260000,8626.49,8627.86,8619.13,8625.02,17.686885
404,1583029320000,8624.65,8628.67,8617.73,8628.66,14.742071
405,1583029380000,8628.56,8636.0,8625.79,8633.23,11.38569
406,1583029440000,8633.78,8638.51,8630.65,8632.47,14.782793
407,1583029500000,8632.42,8635.66,8624.82,8626.64,14.802225
408,1583029560000,8626.61,8635.3,8622.96,8633.21,15.825329
409,1583029620000,8633.25,8640.48,8631.97,8633.19,18.181604
410,1583029680000,8633.12,8646.68,8633.05,8646.46,12.719328
411,1583029740000,8646.39,8648.76,8640.93,8643.1,31.812353
412,1583029800000,8642.04,8649.33,8641.66,8646.12,17.036091
413,1583029860000,8646.12,8647.7,8641.69,8644.53,17.459949
414,1583029920000,8644.37,8646.34,8640.47,8644.36,13.374112
415,1583029980000,8643.4,8644.21,8635.54,8637.1,22.945162
416,1583030040000,8637.12,8639.75,8635.94,8637.86,9.746052
417,1583030100000,8636.87,8637.47,8624.96,8627.66,17.048396
